,x,xdot,theta,theta_dot
1014,-5.47,-0.19,0.03,0.10
1015,-5.49,-0.17,0.04,0.12
1016,-5.51,-0.16,0.05,0.14
1017,-5.52,-0.14,0.06,0.18
1018,-5.54,-0.12,0.08,0.22
1019,-5.55,-0.09,0.10,0.27
1020,-5.56,-0.06,0.13,0.34
1021,-5.56,-0.03,0.17,0.42
1022,-5.57,0.02,0.21,0.53
1023,-4.68,-0.65,-0.04,0.02
1024,-4.74,-0.61,-0.04,0.02
1025,-4.80,-0.57,-0.03,0.02
1026,-4.86,-0.54,-0.03,0.02
1027,-4.91,-0.51,-0.03,0.02
1028,-4.96,-0.48,-0.03,0.02
1029,-5.01,-0.45,-0.03,0.02
1030,-5.06,-0.42,-0.02,0.02
1031,-5.10,-0.40,-0.02,0.02
1032,-5.14,-0.37,-0.02,0.02
1033,-5.18,-0.35,-0.02,0.02
1034,-5.21,-0.33,-0.02,0.02
1035,-5.24,-0.31,-0.01,0.02
1036,-5.27,-0.30,-0.01,0.03
1037,-5.30,-0.28,-0.01,0.03
1038,-5.33,-0.26,-0.01,0.03
1039,-5.36,-0.25,-0.00,0.03
1040,-5.38,-0.24,-0.00,0.04
1041,-5.41,-0.23,0.00,0.05
1042,-5.43,-0.21,0.01,0.05
1043,-5.45,-0.20,0.01,0.06
1044,-5.47,-0.19,0.02,0.08
1045,-5.49,-0.18,0.03,0.09
1046,-5.51,-0.16,0.04,0.11
1047,-5.52,-0.15,0.05,0.14
1048,-5.54,-0.13,0.06,0.17
1049,-5.55,-0.11,0.08,0.21
1050,-5.56,-0.09,0.10,0.26
1051,-5.57,-0.06,0.12,0.32
1052,-5.58,-0.02,0.16,0.40
1053,-5.58,0.02,0.20,0.50
1054,-4.74,-0.61,-0.04,0.02
1055,-4.80,-0.58,-0.03,0.02
1056,-4.86,-0.54,-0.03,0.02
1057,-4.91,-0.51,-0.03,0.02
1058,-4.96,-0.48,-0.03,0.02
1059,-5.01,-0.45,-0.03,0.02
